ID,LOCATION,AREA,PUBLIC,PRIVATE,DATE_ADDED,LONGITUDE,LATITUDE,STAND_TYPE,EASTINGS,NORTHINGS,DAY_MONTH_ADDED
189bs,Ballymun - Decathlon,Blanchardstown, ,24,Pre 2021,-5.727333333,53.40739833, ,714848.1242,741085.9142,
190bs,Santry - Northward,Swords , ,20,Pre 2021,-5.741162778,53.40577472, ,715771.9407,740927.6269,
191bs,Riverwood Square,Swords , ,24,Pre 2021,-5.598310556,53.37812222, ,706343.1921,737628.7087,
192bs,Phoenix Park Way,Castleknock,14, ,Pre 2021,-5.662438889,53.37193, ,710625.6614,737037.2297,
193bs,Phoenix Park Way,Castleknock,12, ,Pre 2021,-5.662315,53.37222889, ,710616.6424,737070.263,
194bs,Ashtown Train Station,Castleknock, ,44,Pre 2021,-5.667479444,53.37530778, ,710952.2703,737420.8443,
195bs,Roselawn Shopping Centre,Blanchardstown, ,4,Pre 2021,-5.618716667,53.38264222, ,707689.4015,738162.1968,
196bs,Tyrrelstown Plaza,Blanchardstown,8, ,Pre 2021,-5.615852778,53.41989722, ,707405.0124,742302.9001,
197bs,Tyrrelstown Plaza,Blanchardstown,12, ,Pre 2021,-5.617345556,53.42015639, ,707503.5699,742333.9887,
198bs,Tyrrelstown Plaza,Blanchardstown,4, ,Pre 2021,-5.618011667,53.42000778, ,707548.2184,742318.4445,
199bs,Lidl - Tyrrelstown,Blanchardstown, ,8,Pre 2021,-5.618449722,53.419755, ,707577.9842,742290.9939,
200bs,Tyrrelstown Plaza,Blanchardstown,12, ,Pre 2021,-5.617120278,53.41946972, ,707490.3407,742257.2594,
201bs,Tyrrelstown Plaza,Blanchardstown,10, ,Pre 2021,-5.618993333,53.41912944, ,707615.6873,742222.2021,
202bs,Corduff Primary Care Centre,Blanchardstown,18, ,Pre 2021,-5.626671667,53.39909194, ,708176.8697,740004.4227,
203bs,Corduff Sports Centre,Blanchardstown, ,4,Pre 2021,-5.621649722,53.39836139, ,707844.7729,739915.5463,
204bs,Bayside Train Station,Howth,20, ,Pre 2021,-5.862977778,53.39122361, ,723913.0501,739513.3162,
205bs,Sutton Sailing Club,Howth,6, ,Pre 2021,-5.897729722,53.37720611, ,726265.7496,738014.6889,
206bs,Martello Tre,Howth,6, ,Pre 2021,-5.902243611,53.372905, ,726578.8112,737544.159,
207bs,Howth Main Street,Howth,4, ,Pre 2021,-5.9350125,53.38546611, ,728721.1785,739000.2619,
208bs,Howth Train Station,Howth,10, ,Pre 2021,-5.926769444,53.38903306, ,728162.1789,739382.2548,
