LATITUDE,LONGITUDE,ID
53.3428,-6.23855,483mb
53.3412,-6.26461,484mb
53.3385,-6.24296,485mb
53.3521,-6.2611,486mb
53.3168,-6.21484,487mb
53.3452,-6.27018,488mb
53.3464,-6.29221,489mb
53.3447,-6.23794,490mb
53.3486,-6.24861,491mb
53.3445,-6.23327,492mb
53.3631,-6.23579,493mb
53.3077,-6.22881,494mb
53.343,-6.23874,495mb
53.3757,-6.24034,496mb
53.3414,-6.26476,497mb
53.3413,-6.28365,498mb
53.3345,-6.27433,499mb
53.3452,-6.27017,500mb
53.3382,-6.24297,501mb
53.3521,-6.26111,502mb
53.3171,-6.21443,503mb
53.3452,-6.27006,504mb
53.3437,-6.26211,505mb
53.2824,-6.14436,506mb
53.3464,-6.29218,507mb
53.3451,-6.23821,508mb
53.3815,-6.2416,509mb
53.3377,-6.26639,510mb
53.3488,-6.24855,511mb
53.3446,-6.23314,512mb
53.3557,-6.25756,513mb
53.3081,-6.22877,514mb
53.3429,-6.2384,515mb
53.3757,-6.24029,516mb
53.3414,-6.26469,517mb
53.3452,-6.27013,518mb
53.3383,-6.24278,519mb
53.3522,-6.26118,520mb
53.2944,-6.13379,521mb
53.3171,-6.21479,522mb
53.3452,-6.27005,523mb
53.3438,-6.26208,524mb
53.3464,-6.29216,525mb
53.3657,-6.32254,526mb
53.3773,-6.27049,527mb
53.2946,-6.13451,528mb
53.3816,-6.24163,529mb
53.3377,-6.26633,530mb
53.3487,-6.24883,531mb
53.3447,-6.23333,532mb
53.3559,-6.25765,533mb
53.3079,-6.2288,534mb
53.3451,-6.2383,535mb
53.3429,-6.23864,536mb
53.3757,-6.24041,537mb
53.3414,-6.26449,538mb
53.3346,-6.27454,539mb
53.3384,-6.243,540mb
53.3521,-6.26132,541mb
53.317,-6.21492,542mb
53.3451,-6.27003,543mb
53.3773,-6.27047,544mb
53.3488,-6.24866,545mb
53.3445,-6.23338,546mb
53.2885,-6.11425,547mb
53.3377,-6.26645,548mb
53.3413,-6.28355,549mb
53.3557,-6.25762,550mb
53.308,-6.22887,551mb
53.3451,-6.23825,552mb
53.3429,-6.23878,553mb
53.3757,-6.24033,554mb
53.3415,-6.26468,555mb
53.3413,-6.28376,556mb
53.3559,-6.25709,557mb
53.3385,-6.24292,558mb
53.3521,-6.26136,559mb
53.2944,-6.13381,560mb
53.3438,-6.26206,561mb
53.2825,-6.14438,562mb
53.2891,-6.11379,563mb
53.3451,-6.23819,564mb
53.3774,-6.27044,565mb
53.2945,-6.13452,566mb
